"lhs","op","rhs","est","se","ci.lower","ci.upper","rhat","ess_bulk","ess_tail"
"F1","=~","a",0.5973087162225,0.0352856256502487,0.5313436035,0.668958922,1.01077941458996,363.512487851634,1364.71045209157
"F1","=~","b",0.4922471874425,0.0421840183171086,0.4149397605,0.57716480925,1.01478961454955,329.437537859682,2076.27657890675
"F1","=~","c",0.410292077355,0.0388337759334643,0.3361086685,0.4891940775,1.01271985871733,314.894043858846,1352.94464410781
"F1","=~","d",0.4084007693975,0.0398293803380887,0.333095423,0.48962897775,1.00812066281803,968.547540386101,1969.37823568889
"F2","=~","e",0.7036912961025,0.046863673185442,0.61026320825,0.7950929285,1.01197604521038,372.883170086891,1899.57363239162
"F2","=~","f",0.6653233698175,0.0489042506413953,0.57183443075,0.760942423,1.00420490056387,778.356347668131,2361.65281346258
"F2","=~","g",0.658104955025,0.0505957775626168,0.56032863,0.757077676,1.01314629878378,246.028726901236,2486.27779800617
"F2","=~","h",0.52789065577,0.049073102144024,0.43313668975,0.63035660325,1.01024324064002,565.892155158289,2161.495392387
"F3","=~","i",0.58149502243,0.0434546850716627,0.49482503,0.66693344775,1.00806499152413,456.711030506572,578.329594096915
"F3","=~","j",0.5958807219125,0.0442316722143914,0.5100899905,0.68202207575,1.00782536297654,542.923941236253,1029.37459129821
"F3","=~","k",0.475186372665,0.040749536640706,0.39793550575,0.557552254,1.00737007191982,406.084155209199,1169.43776684534
"F3","=~","l",0.52134926662,0.0387184393421072,0.4500918955,0.60077811625,1.00321858864438,1467.79193934684,2780.13993305605
"G1","=~","F1",1,0,1,1,NA,NA,NA
"G1","=~","F2",1,0,1,1,NA,NA,NA
"G1","=~","F3",1,0,1,1,NA,NA,NA
"a","~1","",3.0336551269,0.03951018723863,2.95562851,3.115272685,1.00007479568091,1347.5360841352,949.97284217769
"b","~1","",3.040634255275,0.0484943281966608,2.9486703875,3.136128615,1.00003171441594,2349.26376949563,2180.15140101157
"c","~1","",2.9738133452,0.0423881852459035,2.89135337,3.05692174,1.00125241724136,2728.48426434095,2409.67297267238
"d","~1","",2.998014442475,0.0470779599572226,2.90645552,3.0908955825,0.999821610226004,2908.41704554925,2853.42401464397
"e","~1","",2.993390942825,0.0481510252883126,2.902519445,3.0883848425,1.00094421019709,1112.61875243328,1420.89891304458
"f","~1","",3.038131157825,0.0482978051343495,2.9437960925,3.1338113375,1.00006543449762,1650.80465510317,2189.45850299832
"g","~1","",3.026283957825,0.0515809111524058,2.9249136175,3.12597549,1.00158803083222,1498.47271866214,1965.70293521545
