"lhs","op","rhs","est","se","ci.lower","ci.upper","rhat","ess_bulk","ess_tail"
"F1","=~","a",0.58972026515,0.0489271678591888,0.47493373175,0.6691987555,1.00126875448938,175.943328407767,121.551110510777
"F1","=~","b",0.49249965312,0.0507905950342329,0.38517397375,0.5843248355,1.0002216876618,272.590357292102,172.7998740588
"F1","=~","c",0.4180831845,0.0448506529831281,0.32385719125,0.502789996,0.999930866117998,284.062976924867,171.779533327926
"F1","=~","d",0.40914451505,0.0460150279719631,0.314411402,0.4924622335,0.999834895224925,296.203577868027,207.888301611754
"F2","=~","e",0.4871331371075,0.115433621728752,0.25251151325,0.693848823,1.00069996918646,90.2102357307768,191.629100671834
"F2","=~","f",0.4581321215575,0.109591837486654,0.238116933,0.654711428,1.00259752441082,94.1544974510051,177.256329085806
"F2","=~","g",0.4616609406425,0.108791722053162,0.241918265,0.65206456125,1.00313308614079,96.3606670445155,293.87755876332
"F2","=~","h",0.3671761547925,0.0895487336069941,0.188954811,0.52868227025,1.00364894549775,100.749088246552,292.146245767511
"F3","=~","i",0.586846643965,0.0425201780666683,0.506964883,0.6703921615,1.00038173189681,1272.90698991383,2605.26580618557
"F3","=~","j",0.6066787819825,0.0426354147817275,0.52446482025,0.6898894405,1.00045968844165,1283.61569007624,2436.80198525743
"F3","=~","k",0.48857203769,0.0393652389989962,0.4144812035,0.567111888,1.00061679842018,1790.65279724495,2511.55323520258
"F3","=~","l",0.5211968805225,0.0392304470751926,0.44505874875,0.59852652575,1.00222014544911,2030.15882833167,2436.62449165225
"G1","=~","F1",0.3927168666625,0.173474398562503,0.16151195725,0.864344642,1.00072611825537,134.428963867438,89.0612938652903
"G1","=~","F2",1.15820267689,0.579378565767557,0.37873443125,2.6127781675,1.00169312765509,82.3084431605039,122.434343578964
"G1","=~","F3",0.189715275324855,0.100746365204004,-0.021528096725,0.385416687,1.00333786134779,278.570398660694,234.694306650022
"a","~1","",3.03160741495,0.0404299774068469,2.95313139,3.11021853,1.00007140080499,1831.12600684454,2197.34526916434
"b","~1","",3.039698792325,0.0484003980263858,2.9454922275,3.1325223225,0.999992786808852,2895.39962429343,2841.15472701866
"c","~1","",2.972210684725,0.0432760152534066,2.887767925,3.055194725,0.999936982561039,2854.90139282134,2462.56589615525
"d","~1","",2.99716817135,0.046470549674812,2.9026278325,3.0878514775,1.00012331188982,3314.89363041879,2890.2739051519
"e","~1","",2.9947119911,0.0481306216726964,2.905894435,3.092809605,1.0014114514775,2076.79093294677,2959.32958780465
"f","~1","",3.03945713715,0.0505611358465031,2.9418648025,3.138626885,1.00071427668911,2357.6481459911,2778.93523545624
"g","~1","",3.02698008455,0.050743380271175,2.9306505075,3.126144355,0.999759102378811,2426.74913421532,2864.23862828982
"h","~1","",2.9741768873,0.0496990620811827,2.8787599925,3.069123315,0.999935541694323,2781.08163963764,3342.488304042
"i","~1","",3.03772410515,0.0445705929600404,2.95080577,3.1270746625,0.999783807301191,2076.68119258586,2763.11184953253
"j","~1","",3.007662731,0.0447845581937104,2.9208054425,3.096490805,0.999902256267444,1877.73569973727,2250.17120005925
"k","~1","",3.0229614064,0.0435962314405001,2.93616875,3.10584035,1.00151124786006,2560.07610667247,2835.42734260923
"l","~1","",3.0625246185,0.0463390182220277,2.97305932,3.1548697525,1.00040388587282,2354.04243148023,2740.81192749215
"a","~~","a",0.231211531089787,0.0400110030767509,0.155513696686186,0.310311194805831,1.00202676377914,726.519904372114,1065.37030106548
"b","~~","b",0.643396417828509,0.0555552110850206,0.543794443755824,0.76030836811578,1.00001284194497,2560.13541577835,2813.00296009292
"c","~~","c",0.562231769975249,0.0471652424284388,0.474848826240672,0.65819458679153,1.00069139184535,2752.44989199564,2597.21871387502
"d","~~","d",0.704250565121523,0.0566171991470933,0.602580165306544,0.822749294229736,1.00037563159105,3438.03631256503,2737.65227566206
"e","~~","e",0.386934352933579,0.0448081618347789,0.302364864744834,0.4800963442339,1.00031711118777,2247.33223045027,2589.94227564467
"f","~~","f",0.510999974987948,0.049675110382798,0.421036483539454,0.616582785079065,1.00000813449946,3797.97911548115,3084.28855086749
"g","~~","g",0.577618913098465,0.0535392971458099,0.475446842587862,0.689471782793518,1.00087135149025,4175.00944651553,3128.74064235392
"h","~~","h",0.661892339671852,0.0541441247760386,0.561913907358518,0.771547204072869,0.99993842050937,5860.33566848383,3178.01737062412
"i","~~","i",0.443628226385274,0.0442671979985934,0.361914296913799,0.535739486821785,0.999902202404606,2424.03918471192,2726.53276676751
"j","~~","j",0.411649938100652,0.0434562828511409,0.333373499497528,0.501001850552966,0.999946589694343,2221.78747766358,2941.61638798327
"k","~~","k",0.504864115061771,0.0437393916296797,0.423779333427598,0.596975808187435,1.00017648562292,3693.75417688698,3055.00193215896
"l","~~","l",0.568299544003785,0.0506646998273491,0.474857593643128,0.672477313070324,0.999987974652579,3646.75737353977,3116.74228350088
"F1","~~","F1",1,0,1,1,NA,NA,NA
"F2","~~","F2",1,0,1,1,NA,NA,NA
"F3","~~","F3",1,0,1,1,NA,NA,NA
"G1","~~","G1",1,0,1,1,NA,NA,NA
"F1","~","cov",0.721428096623025,0.284825419254893,0.115393563000001,1.2737415475,1.00062926254946,1422.14509968719,840.872340686669
"F2","~","cov",0.037154078937685,0.689181614239373,-1.3762596975,1.3945557675,1.0010032678569,1868.052302542,1984.96055680702
"F3","~","cov",0.67898184192625,0.162462953158227,0.3049574605,0.97162057525,1.00239120289612,1256.89177040731,1195.59215255257
"G1","~","cov",0.431552403742502,0.63761308570226,-0.8484321395,1.726612035,1.00074558784019,1607.15907133557,2083.24658898588
